ilat	ilon	d	mrad
2	0	2014-09-22	45.14708154466417
2	1	2014-08-10	50.036153461339126
0	0	2014-03-04	44.00094519078748
0	0	2014-12-20	43.53274804677774
0	1	2014-03-01	42.30228271006978
0	1	2014-03-14	43.620250262773645
0	1	2014-03-18	43.107765603329426
0	2	2014-06-28	47.02375101385857
0	2	2014-09-05	46.34097783800582
1	0	2014-09-02	48.62382038219555
2	2	2014-05-05	50.8405644816737
2	2	2014-11-23	40.47341923586498
2	2	2015-01-06	48.015019323659494
1	1	2014-01-23	47.559024127894745
2	0	2014-05-18	51.42759812844766
2	0	2014-10-17	43.37456942923058
2	1	2014-08-07	50.97506801931231
0	1	2014-04-15	46.18545610330061
1	0	2014-11-22	44.51842720996814
1	0	2015-01-01	40.923762573466725
2	1	2015-01-30	43.827885534680775
0	0	2014-10-12	43.7870422597605
0	1	2014-12-07	43.503267914104484
2	0	2014-10-24	41.0186632861936
2	0	2014-02-16	45.58608862471907
2	0	2014-06-24	52.264279905955
2	1	2014-10-21	41.23671345729165
2	2	2014-05-12	50.52732467651367
1	0	2014-06-10	49.89972718428368
0	1	2014-08-10	45.15887778007542
1	0	2014-11-13	43.89687549317995
1	2	2014-05-20	48.98782921369121
1	0	2014-07-22	45.99662423141051
2	0	2014-09-02	51.04751628378163
1	0	2014-05-22	48.88691473826165
1	0	2014-11-27	41.80270784896328
1	2	2014-01-21	46.921417805405916
1	0	2014-06-05	49.76720495784984
1	0	2014-10-15	43.69534154172324
1	2	2014-08-04	49.44909086626292
2	0	2014-02-03	44.33846036513075
2	1	2014-11-19	44.563435241798786
0	2	2014-09-18	44.29719574744769
1	0	2014-05-24	48.78054819488654
1	0	2014-09-01	46.85669861426269
1	2	2015-01-17	43.412099396982875
2	1	2014-05-26	51.05691518471045
2	1	2014-08-15	49.46671676940918
0	0	2015-01-16	42.167438183590924
1	1	2014-12-19	43.60051114985983
1	2	2014-08-07	48.03249869168892
2	0	2014-01-20	47.11624214408739
2	1	2014-06-12	51.38081888589208
2	1	2014-08-02	50.43546223617971
0	1	2014-05-08	45.37793668638698
0	1	2014-12-29	41.8817863999073
0	2	2014-08-20	46.74478424136154
1	0	2014-05-20	50.38063153067788
1	1	2014-05-06	47.43186424837815
1	2	2014-01-29	43.83392739803233
2	2	2014-01-19	46.36355267106686
0	0	2014-01-14	42.57198778337111
0	2	2014-04-17	45.14981388665402
0	2	2014-06-07	46.34273357350689
2	1	2014-03-17	48.784841984340126
0	2	2014-06-11	46.45827220370871
2	0	2014-03-15	47.99653415145161
2	1	2014-05-31	50.410738176769684
2	1	2014-05-11	48.72689262422328
2	1	2014-05-15	52.98101899418896
0	2	2014-04-03	46.07141933844529
0	2	2014-04-21	45.65195098636657
1	0	2014-06-17	50.14352929347774
1	2	2014-02-21	45.673116148678844
2	0	2014-02-20	49.13241259765625
0	2	2014-06-26	46.83983415810917
1	0	2014-02-20	48.16350700673688
1	1	2014-06-06	48.773224334783635
2	1	2014-11-15	44.445353249674966
2	1	2014-11-26	44.50257745788527
2	2	2014-04-22	48.66898793286389
0	1	2014-05-12	45.573437353326675
0	2	2014-06-23	47.127490714524114
1	2	2014-07-24	49.003238174150574
2	2	2014-05-19	52.369690228814946
2	2	2014-10-06	49.58138428091952
2	2	2014-12-16	43.03355318370618
1	2	2014-06-20	48.69865118369078
0	2	2014-04-06	44.3628367422617
0	2	2014-09-30	44.80137427096362
0	2	2014-11-12	43.22980353264779
1	1	2014-01-05	44.607196698638816
2	1	2014-11-05	44.53952006202843
2	2	2014-06-06	52.88002421061198
0	0	2014-08-23	45.23074895615452
0	2	2015-01-20	43.222119280262866
1	1	2014-05-20	48.34917592004191
1	2	2014-01-12	42.6211694800545
1	2	2014-04-11	46.649390982541405
0	1	2014-07-11	46.67667213361183
1	1	2014-07-08	49.51137758683692
1	2	2014-11-04	43.16420282765507
2	0	2014-10-04	48.36105004135443
0	0	2014-04-20	45.413330201500706
0	0	2014-10-30	42.82005989573638
1	0	2014-04-14	48.04884214770692
1	1	2014-01-13	42.809847185901624
1	1	2014-10-14	45.66085856491505
2	2	2014-02-16	48.31329474449158
2	2	2014-06-24	53.2672607421875
0	0	2014-04-22	44.481853760590425
0	2	2014-09-20	44.76621014297125
1	1	2014-02-06	43.79881075020138
1	1	2014-09-17	45.531850738784236
2	1	2014-12-22	45.776895272653526
0	0	2015-01-09	42.09726253904021
1	0	2014-04-10	45.414195220442494
1	2	2014-01-27	43.940161246232826
0	0	2014-03-09	44.00735718538572
0	0	2014-05-18	47.173761455683156
1	0	2014-03-19	46.314443716596685
1	0	2014-12-28	44.48065079090207
1	1	2014-07-10	48.026973247528076
2	0	2014-05-23	49.95148273561059
2	2	2014-07-21	50.53336784425846
1	0	2014-07-16	49.84959280980777
1	2	2014-11-18	44.840985846133016
2	0	2014-01-14	41.28448439532277
2	1	2014-06-02	50.23178938043262
2	2	2014-06-07	50.62128409626543
0	0	2014-02-06	43.85078255760479
0	0	2014-09-17	43.0749623002428
1	1	2014-03-20	45.637530952900974
2	1	2014-10-07	46.37922740245428
0	0	2014-02-08	42.829160371449944
1	0	2014-09-25	46.61192911995782
1	0	2014-12-12	44.12297840780776
2	0	2014-01-03	41.722634250170564
2	1	2014-09-11	48.88348527304306
0	0	2014-08-24	46.20395223920879
1	2	2014-09-12	47.73637464621742
1	2	2014-12-26	42.47202674114343
2	0	2014-01-09	42.61352237855148
2	0	2014-12-05	43.145441488786176
0	1	2014-12-24	42.395228223787385
0	2	2014-09-23	44.486652272665474
1	1	2014-06-23	49.72513644067134
1	2	2015-02-04	43.90210809791542
2	1	2014-05-10	51.34318398400176
0	1	2014-10-23	43.28160741858748
0	2	2014-07-05	46.44385854115641
0	2	2014-07-19	45.80179050877608
0	2	2014-12-23	42.32254093348765
1	0	2014-04-24	46.96095982411522
1	2	2014-11-07	43.09014692271185
2	0	2014-07-30	51.501827626001266
2	0	2014-09-12	48.750933915870625
2	0	2014-12-26	45.73677131344128
0	1	2014-06-19	46.24677402060679
2	2	2014-03-30	47.25512210498034
2	2	2014-09-19	49.08072317214239
0	2	2014-05-09	44.8943295366435
1	1	2014-03-07	46.39679416797216
0	2	2014-01-03	42.83558200441635
0	2	2014-01-25	43.00318833194585
1	1	2014-01-06	43.758590631911645
1	1	2014-01-08	41.78012696670483
2	2	2014-04-23	48.42764567813358
0	2	2014-11-16	43.42650072081887
1	0	2014-04-17	47.98572686763963
1	0	2014-06-07	48.24409966773515
1	1	2014-04-15	49.42521393885378
2	1	2014-01-23	52.18940832050702
0	0	2014-08-26	44.76354491437068
0	2	2014-06-09	46.33430349510123
1	0	2014-08-06	47.88792723793794
1	2	2015-01-04	45.23231764352645
2	1	2014-10-11	44.555294153365224
2	2	2014-01-17	49.203531402675836
0	0	2014-12-22	44.22677352393771
0	1	2014-01-05	42.87070191853477
1	1	2014-10-07	46.01656276582358
2	1	2014-02-24	48.50128669993649
2	1	2014-08-05	51.73357148204776
0	0	2015-01-18	42.0749543086213
0	2	2014-02-01	41.729467926471116
1	1	2014-01-19	44.97179363679632
1	1	2014-03-21	46.202970774983086
2	0	2014-12-24	44.10240497913685
2	2	2014-01-15	43.48893163985565
1	0	2014-03-15	46.13570070470791
1	1	2014-05-31	48.83920806961265
1	2	2014-03-18	46.69432144165039
2	1	2014-12-02	45.662941432214
2	2	2014-12-01	45.698584707159746
1	1	2014-10-15	45.73962911714998
1	2	2014-07-03	51.13020188405963
1	2	2014-08-29	47.01899328386614
2	0	2014-07-13	49.742930557330446
2	0	2014-10-19	41.996039086169056
2	1	2014-03-31	46.48878634977265
0	2	2014-12-19	43.12472070966448
1	1	2014-05-01	48.89473398235205
2	2	2014-05-16	52.20434454535696
0	0	2014-07-19	45.22253186124265
0	0	2014-07-31	45.03542438955868
0	0	2014-12-23	45.24442192097874
1	0	2014-05-23	48.448482181875995
1	2	2014-07-21	48.245632297519805
2	0	2014-06-19	52.34062056812814
0	0	2014-05-11	46.35453095017818
0	0	2014-06-22	46.12384745756646
0	0	2014-07-14	47.291850182013576
0	1	2014-12-16	43.11787981305804
0	2	2014-04-08	43.879198302008426
2	1	2014-10-15	44.5712806249069
2	2	2014-07-03	53.906045861200454
2	2	2014-08-29	49.12955854346715
